ID,MEANDEP,MEANINC,MEANPFR
10032,10,1.44,10.5
10061,21.75,1.87,11
10090,NA,NA,NA
10111,NA,NA,NA
10122,8,0.85,6.75
10146,NA,2.02,NA
10164,NA,NA,NA
10178,4.28,2.17,7
10179,3.5,1.74,10.25
10196,12.5,2.2,7.5
10206,3.75,2.19,6
10230,NA,NA,NA
10244,11.75,1.74,10.25
10283,9,2.32,10.25
10293,2.5,3.16,10.75
10301,24.5,0.31,7
10347,22.45,2.37,8.5
10358,NA,NA,NA
10375,NA,NA,NA
10439,4.25,0.71,12.5
10453,13.75,0.88,10.25
10491,NA,NA,NA
10554,NA,NA,NA
10573,16.5,1.99,11.5
10585,7.5,2.47,9.75
10622,5.84,2.89,10.5
10631,21.75,2.65,11.25
10632,NA,NA,NA
10662,6.75,3.47,5
10692,16.5,0.57,9.5
10693,NA,NA,NA
10694,NA,NA,NA
10788,9,0.38,8.5
10797,NA,NA,NA
10824,23.25,0.72,9.75
10843,NA,NA,NA
10847,9.25,1.63,9
10899,22.5,0.25,9.5
10916,14.75,NA,6.25
10923,3,1.65,7.5
10928,17,0.44,8.75
10941,14.5,1.83,6.75
10967,17.75,0.35,4.5
10970,17.75,0.87,3.5
10975,NA,NA,NA
11006,NA,NA,NA
20010,11.75,5.66,8.75
20012,NA,1.78,NA
20014,6.5,2.23,10.5
20026,2.25,6.71,14
20052,13.17,2.26,10
20056,3,5.22,11.75
20063,5.13,7.13,13
20064,0.75,1.85,12
20070,5.5,3.31,10
20071,18,2.33,7
20072,NA,2.71,NA
20097,1.5,2.2,8.25
20100,4.5,3.42,11
20112,NA,NA,NA
20115,5,4.98,12.5
20134,13.09,1.7,10
20142,NA,NA,NA
20152,4.25,NA,10.5
20182,14.75,2.04,9.5
20184,4,1.74,13.75
20194,NA,2.58,NA
20204,NA,NA,NA
20218,NA,NA,NA
20227,17,0.94,7.5
20228,12.75,2.19,8
20264,NA,NA,NA
20265,2.5,3.8,13
20272,2.75,2.58,14
20273,NA,4.5,NA
20274,5.5,2.02,10.5
20286,NA,NA,NA
20288,6.25,2.1,10.5
20307,11.25,1.85,9.5
20309,NA,NA,NA
20311,1,4.88,11.5
20318,6.5,2.36,12.25
20344,1.5,1.3,12.25
20345,10.25,1.72,10.5
20372,19.25,3.55,7.5
20380,5.75,3.91,11.5
20412,NA,NA,NA
20413,21.75,1.44,8.25
20415,NA,1.97,NA
20419,6.75,1.95,9.75
20427,NA,NA,NA
20435,4,1.92,8.25
20446,10.75,1.14,8
20447,1.75,3.05,14.5
20452,5.32,3.98,12.75
20462,NA,NA,NA
20464,1.5,2.2,11.75
20482,16.5,2.68,6.75
20488,NA,NA,NA
20489,15,3.46,14.25
20490,15.75,1.48,6.25
20518,NA,NA,NA
20521,15.5,2.03,9.25
20522,14,3.45,12.25
20525,15,2,11.5
20534,1.5,5.61,12
20535,7.25,7.69,9.5
